measurement_series;tag_id;series;measurement;distance;mean;variance;success_count;expected_count;latitude;longitude
0;11;1;1;103;11;7;16;16;N6324.4333;E01028.6513
0;11;1;2;94;10;6;29;32;N6324.4333;E01028.6513
0;11;1;3;94;10;5;64;64;N6324.4340;E01028.6512
0;11;1;4;103;11;6;128;128;N6324.4346;E01028.6517
0;11;1;5;94;10;6;253;256;N6324.4358;E01028.6528
0;11;1;6;103;11;5;509;512;N6324.4364;E01028.6537
0;11;1;7;94;10;6;1021;1024;N6324.4367;E01028.6549
0;11;2;1;94;10;5;16;16;N6324.4368;E01028.6553
0;11;2;2;103;11;4;32;32;N6324.4368;E01028.6554
0;11;2;3;112;12;4;64;64;N6324.4370;E01028.6555
0;11;2;4;103;11;4;128;128;N6324.4371;E01028.6556
0;11;2;5;103;11;5;253;256;N6324.4372;E01028.6557
0;11;2;6;94;10;6;512;512;N6324.4371;E01028.6564
0;11;2;7;94;10;5;1024;1024;N6324.4378;E01028.6563
0;11;3;1;103;11;5;16;16;N6324.4383;E01028.6561
0;11;3;2;94;10;4;32;32;N6324.4387;E01028.6558
0;11;3;3;94;10;3;64;64;N6324.4389;E01028.6556
0;11;3;4;94;10;5;128;128;N6324.4392;E01028.6556
0;11;3;5;94;10;6;256;256;N6324.4394;E01028.6554
0;11;3;6;103;11;5;512;512;N6324.4395;E01028.6549
0;11;3;7;103;11;5;1024;1024;N6324.4392;E01028.6541
0;11;4;1;94;10;4;16;16;N6324.4385;E01028.6535
0;11;4;2;94;10;5;29;32;N6324.4385;E01028.6535
0;11;4;3;112;12;4;61;64;N6324.4356;E01028.6520
0;11;4;4;103;11;5;125;128;N6324.4300;E01028.6503
0;11;4;5;103;11;5;256;256;N6324.4209;E01028.6470
0;11;4;6;103;11;5;512;512;N6324.4185;E01028.6459
0;11;4;7;103;11;5;1024;1024;N6324.4161;E01028.6458
0;11;5;1;112;12;4;13;16;N6324.4155;E01028.6459
0;11;5;2;103;11;6;29;32;N6324.4152;E01028.6459
0;11;5;3;112;12;5;61;64;N6324.4147;E01028.6466
0;11;5;4;103;11;5;128;128;N6324.4140;E01028.6477
0;11;5;5;112;12;5;256;256;N6324.4137;E01028.6478
0;11;5;6;112;12;4;512;512;N6324.4138;E01028.6470
0;11;5;7;103;11;5;1024;1024;N6324.4141;E01028.6464
